borrower_id,loan_id,cycle_start_date,due_date,statement_date,amount_due,amount_paid,days_late,fee_assessed,interest_accrued,remaining_principal,payment_method,autopay_flag,hardship_flag,state,product_type,apr,term_months,statement_text,pay_ratio,is_partial_payment,fee_to_paid,fees_rolling3,fee_to_paid_prev,spiral_flag,anomaly_score,is_anomaly,explanation
B1003,L203,2024-12-30,2025-01-20,2025-01-13,75.0,76.6,1,5.0,0.0,3480.53,Cash,1,0,NY,bnpl,0.1225,6,Customer misunderstood minimum vs statement balance.,1.0213333333333332,0,0.06527415143603134,3.0,0.19729054320662895,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1003,L203,2025-01-29,2025-02-19,2025-02-12,75.0,74.46,2,5.0,0.01,3406.08,ACH,1,0,NY,bnpl,0.1225,6,Customer disputes late fee; claims payment posted late.,0.9927999999999999,0,0.06715014773032502,3.0,0.06527415143603134,1,1,0,Fee dispute—manual review recommended.
B1003,L203,2025-02-28,2025-03-21,2025-03-14,75.0,75.06,2,5.0,0.0,3331.08,Wallet,1,0,NY,bnpl,0.1225,6,Employer payroll delay; expects full payment Friday.,1.0008000000000001,0,0.06661337596589395,3.0,0.06715014773032502,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1004,L204,2024-10-01,2024-10-22,2024-10-15,400.0,384.22,0,0.0,0.21,3752.53,Check,0,0,CA,bnpl,0.1566,36,Paid full on time via ACH.,0.96055,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1004,L204,2024-10-31,2024-11-21,2024-11-14,400.0,338.99,0,0.0,0.8,3414.34,Check,0,0,CA,bnpl,0.1566,36,Customer misunderstood minimum vs statement balance.,0.847475,1,0.0,0.0,0.0,0,1,0,Partial on-time payment—signal of intent; consider nudge to full.
B1004,L204,2024-11-30,2024-12-21,2024-12-14,400.0,392.72,0,0.0,0.1,3021.72,ACH,0,0,CA,bnpl,0.1566,36,Paid full on time via ACH.,0.9818000000000001,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1004,L204,2024-12-30,2025-01-20,2025-01-13,400.0,389.12,0,0.0,0.14,2632.74,ACH,0,0,CA,bnpl,0.1566,36,Paid full on time via ACH.,0.9728,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1004,L204,2025-01-29,2025-02-19,2025-02-12,400.0,414.43,0,0.0,0.0,2232.74,Cash,0,0,CA,bnpl,0.1566,36,Paid full on time via ACH.,1.036075,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1004,L204,2025-02-28,2025-03-21,2025-03-14,400.0,399.39,0,0.0,0.01,1833.36,ACH,0,0,CA,bnpl,0.1566,36,Paid full on time via ACH.,0.998475,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1005,L205,2024-10-01,2024-10-22,2024-10-15,150.0,143.47,2,10.0,0.09,2173.88,Card,0,0,CA,revolving,0.1631,36,Employer payroll delay; expects full payment Friday.,0.9564666666666667,0,0.06970098278385725,1.0,0.0,0,1,0,Late with fee—watch for penalty spiral if repeated.
B1005,L205,2024-10-31,2024-11-21,2024-11-14,150.0,153.18,1,5.0,0.0,2023.88,ACH,0,0,CA,revolving,0.1631,36,Set up autopay today—should clear next cycle.,1.0212,0,0.03264133698916308,2.0,0.06970098278385725,0,1,0,Late with fee—watch for penalty spiral if repeated.
B1005,L205,2024-11-30,2024-12-21,2024-12-14,150.0,146.5,2,10.0,0.05,1877.43,Wallet,0,0,CA,revolving,0.1631,36,"Payment posted, but fee assessment appears duplicated.",0.9766666666666667,0,0.06825938566552901,3.0,0.03264133698916308,1,1,0,Fee dispute—manual review recommended.
B1005,L205,2024-12-30,2025-01-20,2025-01-13,150.0,147.68,1,15.0,0.03,1729.78,Wallet,0,0,CA,revolving,0.1631,36,Autopay failed: insufficient funds. Retry scheduled.,0.9845333333333334,0,0.10157096424702058,3.0,0.06825938566552901,1,1,0,Autopay failure likely caused the delay/fee; ensure funds & retry.
B1005,L205,2025-01-29,2025-02-19,2025-02-12,150.0,149.84,4,10.0,0.0,1579.94,Check,0,0,CA,revolving,0.1631,36,Employer payroll delay; expects full payment Friday.,0.9989333333333333,0,0.06673785371062467,3.0,0.10157096424702058,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1005,L205,2025-02-28,2025-03-21,2025-03-14,150.0,143.71,4,15.0,0.09,1436.32,Wallet,0,0,CA,revolving,0.1631,36,Paid short due to cash flow timing; will catch up next cycle.,0.9580666666666667,0,0.10437687008558903,3.0,0.06673785371062467,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1006,L206,2024-10-01,2024-10-22,2024-10-15,250.0,190.78,0,0.0,1.37,1754.1,Check,0,0,CA,bnpl,0.2773,12,Customer disputes late fee; claims payment posted late.,0.76312,1,0.0,0.0,0.0,0,1,0,Fee dispute—manual review recommended.
B1006,L206,2024-10-31,2024-11-21,2024-11-14,250.0,233.26,2,15.0,0.39,1521.23,Check,0,0,CA,bnpl,0.2773,12,Customer disputes late fee; claims payment posted late.,0.93304,1,0.06430592471919747,1.0,0.0,0,1,0,Fee dispute—manual review recommended.
B1006,L206,2024-11-30,2024-12-21,2024-12-14,250.0,231.54,1,15.0,0.43,1290.12,ACH,0,0,CA,bnpl,0.2773,12,Autopay failed: insufficient funds. Retry scheduled.,0.92616,1,0.0647836227001814,2.0,0.06430592471919747,0,1,0,Autopay failure likely caused the delay/fee; ensure funds & retry.
B1006,L206,2024-12-30,2025-01-20,2025-01-13,250.0,237.79,1,10.0,0.28,1052.61,Card,0,0,CA,bnpl,0.2773,12,Employer payroll delay; expects full payment Friday.,0.95116,0,0.0420539131166155,3.0,0.0647836227001814,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1006,L206,2025-01-29,2025-02-19,2025-02-12,250.0,233.57,2,5.0,0.38,819.42,Check,0,1,CA,bnpl,0.2773,12,Hardship plan active: reduced payment accepted for 2 months.,0.93428,1,0.02140685875754592,3.0,0.0420539131166155,1,1,0,Hardship plan active; reduced payment accepted without fees.
B1006,L206,2025-02-28,2025-03-21,2025-03-14,250.0,243.55,0,0.0,0.15,576.02,Check,0,0,CA,bnpl,0.2773,12,Paid full on time via ACH.,0.9742000000000001,0,0.0,2.0,0.02140685875754592,0,1,0,On-time full or near-full payment.
B1007,L207,2024-10-01,2024-10-22,2024-10-15,400.0,292.9,12,10.0,2.36,4246.46,Check,0,0,NY,installment,0.2641,24,Multiple small penalties assessed over consecutive cycles.,0.73225,1,0.03414134516899966,1.0,0.0,0,1,0,Late with fee—watch for penalty spiral if repeated.
B1007,L207,2024-10-31,2024-11-21,2024-11-14,400.0,100.19,12,25.0,6.6,4152.87,Check,0,0,NY,installment,0.2641,24,Multiple small penalties assessed over consecutive cycles.,0.250475,0,0.24952590078850184,2.0,0.03414134516899966,0,-1,1,Late with fee—watch for penalty spiral if repeated.
B1007,L207,2024-11-30,2024-12-21,2024-12-14,400.0,219.36,18,10.0,3.98,3937.49,Cash,0,0,NY,installment,0.2641,24,Multiple small penalties assessed over consecutive cycles.,0.5484,1,0.04558716265499635,3.0,0.24952590078850184,1,-1,1,Late with fee—watch for penalty spiral if repeated.
B1007,L207,2024-12-30,2025-01-20,2025-01-13,400.0,313.68,6,15.0,1.9,3625.71,Card,0,0,NY,installment,0.2641,24,Multiple small penalties assessed over consecutive cycles.,0.7842,1,0.047819433817903594,3.0,0.04558716265499635,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1007,L207,2025-01-29,2025-02-19,2025-02-12,400.0,246.05,17,10.0,3.39,3383.05,Check,0,0,NY,installment,0.2641,24,Multiple small penalties assessed over consecutive cycles.,0.615125,1,0.040642145905303795,3.0,0.047819433817903594,1,-1,1,Late with fee—watch for penalty spiral if repeated.
B1007,L207,2025-02-28,2025-03-21,2025-03-14,400.0,250.92,5,35.0,3.28,3135.41,Check,0,0,NY,installment,0.2641,24,Multiple small penalties assessed over consecutive cycles.,0.6273,1,0.13948668898453692,3.0,0.040642145905303795,1,-1,1,Late with fee—watch for penalty spiral if repeated.
B1008,L208,2024-10-01,2024-10-22,2024-10-15,150.0,157.1,0,0.0,0.0,1447.95,Wallet,0,0,TX,bnpl,0.2252,6,Paid full on time via ACH.,1.0473333333333332,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1008,L208,2024-10-31,2024-11-21,2024-11-14,150.0,149.8,0,0.0,0.0,1298.15,Cash,0,0,TX,bnpl,0.2252,6,Paid full on time via ACH.,0.9986666666666667,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1008,L208,2024-11-30,2024-12-21,2024-12-14,150.0,149.02,0,0.0,0.02,1149.15,Wallet,0,0,TX,bnpl,0.2252,6,Paid full on time via ACH.,0.9934666666666667,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1008,L208,2024-12-30,2025-01-20,2025-01-13,150.0,150.04,0,0.0,0.0,999.15,Check,0,0,TX,bnpl,0.2252,6,Paid full on time via ACH.,1.0002666666666666,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1008,L208,2025-01-29,2025-02-19,2025-02-12,150.0,152.53,0,0.0,0.0,849.15,ACH,0,0,TX,bnpl,0.2252,6,Paid full on time via ACH.,1.0168666666666666,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1008,L208,2025-02-28,2025-03-21,2025-03-14,150.0,145.43,0,0.0,0.09,703.81,Wallet,0,0,TX,bnpl,0.2252,6,Paid full on time via ACH.,0.9695333333333334,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1009,L209,2024-10-01,2024-10-22,2024-10-15,150.0,126.26,0,0.0,0.42,1632.18,Wallet,1,0,NY,installment,0.2115,36,Card declined; trying ACH instead tomorrow.,0.8417333333333333,1,0.0,0.0,0.0,0,1,0,Partial on-time payment—signal of intent; consider nudge to full.
B1009,L209,2024-10-31,2024-11-21,2024-11-14,150.0,92.11,0,0.0,1.02,1541.09,Cash,1,0,NY,installment,0.2115,36,Partial payment made at branch; slip photo uploaded.,0.6140666666666666,1,0.0,0.0,0.0,0,1,0,Partial on-time payment—signal of intent; consider nudge to full.
B1009,L209,2024-11-30,2024-12-21,2024-12-14,150.0,65.65,0,0.0,1.49,1476.93,ACH,1,0,NY,installment,0.2115,36,Partial payment made at branch; slip photo uploaded.,0.4376666666666667,1,0.0,0.0,0.0,0,1,0,Partial on-time payment—signal of intent; consider nudge to full.
B1009,L209,2024-12-30,2025-01-20,2025-01-13,150.0,72.71,0,0.0,1.36,1405.58,Card,1,0,NY,installment,0.2115,36,Card declined; trying ACH instead tomorrow.,0.4847333333333333,1,0.0,0.0,0.0,0,1,0,Partial on-time payment—signal of intent; consider nudge to full.
B1009,L209,2025-01-29,2025-02-19,2025-02-12,150.0,112.2,0,0.0,0.67,1294.05,Card,1,0,NY,installment,0.2115,36,Set up autopay today—should clear next cycle.,0.748,1,0.0,0.0,0.0,0,1,0,Partial on-time payment—signal of intent; consider nudge to full.
B1009,L209,2025-02-28,2025-03-21,2025-03-14,150.0,134.25,0,0.0,0.28,1160.08,Cash,1,0,NY,installment,0.2115,36,Autopay failed: insufficient funds. Retry scheduled.,0.895,1,0.0,0.0,0.0,0,1,0,Autopay failure likely caused the delay/fee; ensure funds & retry.
B1010,L200,2024-10-01,2024-10-22,2024-10-15,100.0,99.2,2,5.0,0.02,1735.12,Wallet,1,0,NY,bnpl,0.2385,6,Set up autopay today—should clear next cycle.,0.992,0,0.05040322580645161,1.0,0.0,0,1,0,Late with fee—watch for penalty spiral if repeated.
B1010,L200,2024-10-31,2024-11-21,2024-11-14,100.0,95.05,4,5.0,0.1,1640.17,ACH,1,1,NY,bnpl,0.2385,6,Hardship plan active: reduced payment accepted for 2 months.,0.9505,0,0.052603892688058915,2.0,0.05040322580645161,0,1,0,Hardship plan active; reduced payment accepted without fees.
B1010,L200,2024-11-30,2024-12-21,2024-12-14,100.0,98.97,2,15.0,0.02,1541.22,Check,1,0,NY,bnpl,0.2385,6,Employer payroll delay; expects full payment Friday.,0.9897,0,0.1515610791148833,3.0,0.052603892688058915,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1010,L200,2024-12-30,2025-01-20,2025-01-13,100.0,99.38,3,10.0,0.01,1441.85,ACH,1,0,NY,bnpl,0.2385,6,Customer disputes late fee; claims payment posted late.,0.9937999999999999,0,0.10062386798148522,3.0,0.1515610791148833,1,1,0,Fee dispute—manual review recommended.
B1010,L200,2025-01-29,2025-02-19,2025-02-12,100.0,104.82,2,5.0,0.0,1341.85,ACH,1,0,NY,bnpl,0.2385,6,Autopay failed; retry scheduled.,1.0482,0,0.047700820454111816,3.0,0.10062386798148522,1,1,0,Autopay failure likely caused the delay/fee; ensure funds & retry.
B1010,L200,2025-02-28,2025-03-21,2025-03-14,100.0,98.6,4,5.0,0.03,1243.28,Wallet,1,0,NY,bnpl,0.2385,6,Paid short due to cash flow timing; will catch up next cycle.,0.986,0,0.05070993914807303,3.0,0.047700820454111816,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1011,L201,2024-10-01,2024-10-22,2024-10-15,250.0,261.9,4,10.0,0.0,3517.41,ACH,0,0,FL,revolving,0.2197,36,Customer disputes late fee; claims payment posted late.,1.0475999999999999,0,0.038182512409316534,1.0,0.0,0,1,0,Fee dispute—manual review recommended.
B1011,L201,2024-10-31,2024-11-21,2024-11-14,250.0,247.47,3,10.0,0.05,3269.99,Card,0,0,FL,revolving,0.2197,36,Employer payroll delay; expects full payment Friday.,0.98988,0,0.04040893845718673,2.0,0.038182512409316534,0,1,0,Late with fee—watch for penalty spiral if repeated.
B1011,L201,2024-11-30,2024-12-21,2024-12-14,250.0,238.13,1,10.0,0.22,3032.08,ACH,0,0,FL,revolving,0.2197,36,Employer payroll delay; expects full payment Friday.,0.95252,0,0.04199386889514131,3.0,0.04040893845718673,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1011,L201,2024-12-30,2025-01-20,2025-01-13,250.0,254.71,1,10.0,0.0,2782.08,ACH,0,0,FL,revolving,0.2197,36,Customer misunderstood minimum vs statement balance.,1.01884,0,0.039260335283263316,3.0,0.04199386889514131,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1011,L201,2025-01-29,2025-02-19,2025-02-12,250.0,248.56,4,10.0,0.03,2533.55,ACH,0,0,FL,revolving,0.2197,36,"Payment posted, but fee assessment appears duplicated.",0.99424,0,0.04023173479240425,3.0,0.039260335283263316,1,1,0,Fee dispute—manual review recommended.
B1011,L201,2025-02-28,2025-03-21,2025-03-14,250.0,254.0,1,5.0,0.0,2283.55,Wallet,0,0,FL,revolving,0.2197,36,Employer payroll delay; expects full payment Friday.,1.016,0,0.01968503937007874,3.0,0.04023173479240425,1,1,0,Late with fee—watch for penalty spiral if repeated.
B1012,L202,2024-10-01,2024-10-22,2024-10-15,400.0,381.84,0,0.0,0.28,640.77,ACH,1,0,PA,bnpl,0.1871,36,Paid full on time via ACH.,0.9545999999999999,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1012,L202,2024-10-31,2024-11-21,2024-11-14,400.0,419.18,0,0.0,0.0,240.77,Wallet,1,0,PA,bnpl,0.1871,36,Paid full on time via ACH.,1.04795,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1012,L202,2024-11-30,2024-12-21,2024-12-14,400.0,383.91,0,0.0,0.25,0.0,Wallet,1,0,PA,bnpl,0.1871,36,Paid full on time via ACH.,0.959775,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1012,L202,2024-12-30,2025-01-20,2025-01-13,400.0,386.93,0,0.0,0.2,0.0,Wallet,1,0,PA,bnpl,0.1871,36,Paid full on time via ACH.,0.967325,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1012,L202,2025-01-29,2025-02-19,2025-02-12,400.0,404.63,0,0.0,0.0,0.0,Wallet,1,0,PA,bnpl,0.1871,36,Paid full on time via ACH.,1.011575,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1012,L202,2025-02-28,2025-03-21,2025-03-14,400.0,390.44,0,0.0,0.15,0.0,Card,1,0,PA,bnpl,0.1871,36,Paid full on time via ACH.,0.9761,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1013,L203,2024-10-01,2024-10-22,2024-10-15,100.0,95.27,0,0.0,0.08,3295.7,Cash,0,0,FL,installment,0.2002,36,Paid full on time via ACH.,0.9527,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1013,L203,2024-10-31,2024-11-21,2024-11-14,100.0,103.01,0,0.0,0.0,3195.7,Check,0,0,FL,installment,0.2002,36,Paid full on time via ACH.,1.0301,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1013,L203,2024-11-30,2024-12-21,2024-12-14,100.0,98.88,0,0.0,0.02,3096.84,Check,0,0,FL,installment,0.2002,36,Paid full on time via ACH.,0.9887999999999999,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1013,L203,2024-12-30,2025-01-20,2025-01-13,100.0,96.29,0,0.0,0.06,3000.61,Wallet,0,0,FL,installment,0.2002,36,Paid full on time via ACH.,0.9629000000000001,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1013,L203,2025-01-29,2025-02-19,2025-02-12,100.0,100.46,0,0.0,0.0,2900.61,Wallet,0,0,FL,installment,0.2002,36,Paid full on time via ACH.,1.0046,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1013,L203,2025-02-28,2025-03-21,2025-03-14,100.0,101.26,0,0.0,0.0,2800.61,ACH,0,0,FL,installment,0.2002,36,Paid full on time via ACH.,1.0126,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1014,L204,2024-10-01,2024-10-22,2024-10-15,75.0,71.96,0,0.0,0.06,510.1,Cash,0,0,TX,installment,0.2242,24,Paid full on time via ACH.,0.9594666666666666,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1014,L204,2024-10-31,2024-11-21,2024-11-14,75.0,73.77,0,0.0,0.02,436.35,Card,0,0,TX,installment,0.2242,24,Paid full on time via ACH.,0.9835999999999999,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1014,L204,2024-11-30,2024-12-21,2024-12-14,75.0,73.64,0,0.0,0.03,362.74,Card,0,0,TX,installment,0.2242,24,Paid full on time via ACH.,0.9818666666666667,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1014,L204,2024-12-30,2025-01-20,2025-01-13,75.0,76.36,0,0.0,0.0,287.74,Card,0,0,TX,installment,0.2242,24,Paid full on time via ACH.,1.0181333333333333,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1014,L204,2025-01-29,2025-02-19,2025-02-12,75.0,73.21,0,0.0,0.03,214.56,Check,0,0,TX,installment,0.2242,24,Paid full on time via ACH.,0.9761333333333333,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1014,L204,2025-02-28,2025-03-21,2025-03-14,75.0,76.45,0,0.0,0.0,139.56,Card,0,0,TX,installment,0.2242,24,Paid full on time via ACH.,1.0193333333333334,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1015,L205,2024-10-01,2024-10-22,2024-10-15,400.0,410.02,0,0.0,0.0,898.48,Cash,1,0,TX,installment,0.2699,36,Paid full on time via ACH.,1.02505,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1015,L205,2024-10-31,2024-11-21,2024-11-14,400.0,396.5,0,0.0,0.08,502.06,Card,1,0,TX,installment,0.2699,36,Paid full on time via ACH.,0.99125,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1015,L205,2024-11-30,2024-12-21,2024-12-14,400.0,403.22,0,0.0,0.0,102.06,Wallet,1,0,TX,installment,0.2699,36,Paid full on time via ACH.,1.0080500000000001,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1015,L205,2024-12-30,2025-01-20,2025-01-13,400.0,407.19,0,0.0,0.0,0.0,ACH,1,0,TX,installment,0.2699,36,Paid full on time via ACH.,1.017975,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1015,L205,2025-01-29,2025-02-19,2025-02-12,400.0,395.11,0,0.0,0.11,0.0,ACH,1,0,TX,installment,0.2699,36,Paid full on time via ACH.,0.9877750000000001,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1015,L205,2025-02-28,2025-03-21,2025-03-14,400.0,413.06,0,0.0,0.0,0.0,Wallet,1,0,TX,installment,0.2699,36,Paid full on time via ACH.,1.03265,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1016,L206,2024-10-01,2024-10-22,2024-10-15,75.0,78.38,0,0.0,0.0,4700.28,Cash,0,0,NY,bnpl,0.1286,6,Paid full on time via ACH.,1.0450666666666666,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1016,L206,2024-10-31,2024-11-21,2024-11-14,75.0,74.95,0,0.0,0.0,4625.33,Wallet,0,0,NY,bnpl,0.1286,6,Paid full on time via ACH.,0.9993333333333334,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1016,L206,2024-11-30,2024-12-21,2024-12-14,75.0,71.94,0,0.0,0.03,4553.42,Check,0,0,NY,bnpl,0.1286,6,Paid full on time via ACH.,0.9591999999999999,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1016,L206,2024-12-30,2025-01-20,2025-01-13,75.0,73.71,0,0.0,0.01,4479.72,Cash,0,0,NY,bnpl,0.1286,6,Paid full on time via ACH.,0.9827999999999999,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1016,L206,2025-01-29,2025-02-19,2025-02-12,75.0,72.85,0,0.0,0.02,4406.89,Wallet,0,0,NY,bnpl,0.1286,6,Paid full on time via ACH.,0.9713333333333333,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
